Country,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Barbados,BRB,1.13,0.15,4.00,86.21,73.89,95.57,0.94,0.25,5.00,80.00,65.71,94.76,0.63,0.30,3.00,73.56,57.69,83.65,0.41,0.26,5.00,66.83,53.37,74.52,0.36,0.18,6.00,63.94,55.29,74.52,1.26,0.19,6.00,88.46,80.77,91.35
Brunei Darussalam,BRN,-0.95,0.16,5.00,22.17,14.78,27.59,1.17,0.24,6.00,91.90,71.90,97.62,1.32,0.25,5.00,87.02,78.37,94.71,0.63,0.26,6.00,73.08,62.02,81.73,0.61,0.18,6.00,74.04,62.50,78.85,0.80,0.20,5.00,78.37,67.79,83.65
Bhutan,BTN,0.10,0.14,5.00,51.23,39.90,57.64,1.09,0.25,4.00,89.52,68.57,97.14,0.31,0.27,5.00,64.90,47.12,75.00,-0.33,0.22,6.00,39.42,25.00,56.25,0.59,0.18,7.00,72.60,61.54,78.85,1.62,0.21,6.00,91.83,88.46,95.19
South Sudan,SSD,-1.97,0.14,10.00,1.97,0.00,4.43,-2.56,0.28,4.00,2.38,0.00,4.29,-2.45,0.23,8.00,0.00,0.00,0.96,-2.05,0.21,6.00,2.40,0.00,3.37,-1.97,0.21,10.00,1.44,0.48,4.81,-1.77,0.19,9.00,0.00,0.00,4.33
Botswana,BWA,0.53,0.12,13.00,63.05,57.64,71.43,1.01,0.24,6.00,84.29,67.62,96.19,0.43,0.20,11.00,68.27,57.21,75.00,0.37,0.17,10.00,65.87,58.65,73.08,0.50,0.15,14.00,69.23,61.06,75.96,0.71,0.14,14.00,75.48,67.79,80.77
Central African Republic,CAF,-1.20,0.13,10.00,15.76,9.85,21.18,-2.18,0.25,5.00,3.81,0.95,5.71,-1.75,0.20,9.00,2.88,0.96,7.21,-1.37,0.18,8.00,7.21,3.37,11.54,-1.73,0.16,11.00,3.37,0.96,5.29,-1.23,0.17,10.00,10.58,4.33,16.83
Canada,CAN,1.46,0.14,11.00,96.06,88.67,99.51,1.03,0.23,8.00,85.24,68.57,96.19,1.73,0.23,7.00,95.19,87.50,99.52,1.72,0.22,8.00,95.67,88.94,99.52,1.76,0.16,11.00,94.71,89.90,99.52,1.77,0.16,9.00,93.27,89.90,96.63
Switzerland,CHE,1.53,0.15,8.00,97.04,90.64,100.00,1.34,0.23,7.00,94.76,80.48,99.52,1.95,0.23,7.00,99.52,92.79,100.00,1.66,0.24,7.00,94.71,86.54,99.52,1.91,0.17,9.00,99.04,92.31,100.00,1.98,0.18,8.00,96.15,92.31,100.00
Chile,CHL,1.02,0.12,13.00,81.28,73.40,88.67,0.21,0.23,8.00,54.76,41.43,66.19,1.06,0.20,10.00,81.73,75.00,88.94,1.22,0.18,10.00,84.13,76.44,91.35,1.07,0.14,14.00,82.69,77.88,87.02,1.09,0.13,14.00,83.17,79.33,88.94
China,CHN,-1.61,0.12,11.00,6.40,3.45,10.34,-0.24,0.23,8.00,38.10,23.33,53.81,0.52,0.21,9.00,71.63,59.62,77.40,-0.24,0.18,10.00,42.79,33.17,57.21,-0.27,0.15,12.00,45.19,32.21,52.40,-0.32,0.14,11.00,43.27,32.69,51.44
Côte d'Ivoire,CIV,-0.22,0.12,14.00,37.44,33.99,43.84,-0.96,0.23,7.00,14.29,9.52,23.33,-0.48,0.19,12.00,35.10,20.19,44.23,-0.24,0.16,11.00,43.27,33.17,56.25,-0.57,0.14,15.00,30.77,21.15,42.31,-0.53,0.14,15.00,33.65,25.48,44.23
