Country,Code,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Saudi Arabia,SAU,-1.62,0.13,9.00,5.91,2.96,10.84,-0.43,0.23,7.00,29.52,18.10,46.67,0.31,0.22,8.00,64.42,50.96,73.56,-0.07,0.21,8.00,51.92,36.54,63.94,0.17,0.17,10.00,58.65,50.48,65.38,0.27,0.17,8.00,62.98,57.69,69.71
Sudan,SDN,-1.64,0.12,12.00,5.42,2.46,7.88,-1.67,0.24,6.00,6.67,4.29,10.48,-1.62,0.20,10.00,5.29,1.44,10.10,-1.67,0.17,9.00,3.85,2.40,6.73,-1.14,0.15,12.00,10.58,6.73,18.75,-1.37,0.15,12.00,7.69,1.92,12.50
Senegal,SEN,0.26,0.12,14.00,55.67,48.77,61.08,0.06,0.23,7.00,49.52,34.76,59.52,-0.06,0.19,12.00,50.96,38.46,62.02,-0.11,0.16,11.00,50.00,36.54,61.54,-0.19,0.14,15.00,47.12,37.50,54.81,0.05,0.14,15.00,59.13,50.00,62.50
Singapore,SGP,-0.18,0.13,10.00,39.41,34.98,45.32,1.53,0.23,8.00,97.62,90.95,100.00,2.22,0.22,8.00,100.00,97.12,100.00,2.16,0.20,9.00,100.00,97.12,100.00,1.88,0.16,11.00,96.63,92.31,100.00,2.16,0.14,11.00,99.52,95.19,100.00
Solomon Islands,SLB,0.60,0.20,2.00,66.01,55.67,76.35,0.50,0.29,3.00,62.38,48.57,82.38,-1.00,0.35,3.00,15.38,5.29,36.54,-0.83,0.29,4.00,18.27,7.21,37.98,-0.14,0.29,5.00,48.08,27.88,62.98,-0.01,0.28,4.00,57.21,35.10,66.83
Sierra Leone,SLE,-0.10,0.12,13.00,41.38,35.96,51.23,-0.10,0.24,6.00,44.29,27.62,57.14,-1.13,0.21,10.00,12.50,7.21,20.19,-0.88,0.17,9.00,17.31,9.62,29.33,-0.77,0.15,13.00,22.60,14.90,32.21,-0.41,0.14,13.00,38.46,27.88,50.00
El Salvador,SLV,0.14,0.12,13.00,51.72,42.86,58.13,-0.13,0.23,7.00,42.86,27.14,55.71,-0.47,0.21,10.00,35.58,19.71,47.12,0.02,0.18,10.00,56.25,41.35,64.42,-0.76,0.15,14.00,23.56,15.87,32.21,-0.55,0.13,14.00,32.69,24.52,41.83
San Marino,SMR,1.19,0.23,1.00,88.18,73.40,98.03,0.90,0.40,2.00,78.57,55.24,97.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Somalia,SOM,-1.84,0.12,10.00,2.96,0.99,5.42,-2.38,0.24,6.00,2.86,0.00,4.29,-2.24,0.20,8.00,0.96,0.00,1.92,-2.20,0.19,7.00,1.92,0.00,2.88,-2.35,0.15,9.00,0.00,0.00,0.48,-1.71,0.17,9.00,0.96,0.00,5.29
São Tomé and Principe,STP,0.37,0.15,8.00,59.61,51.23,66.50,0.52,0.25,4.00,62.86,50.00,79.52,-0.63,0.23,7.00,29.81,14.90,40.87,-0.91,0.21,6.00,15.87,8.65,30.29,-0.68,0.17,8.00,25.96,16.83,39.42,0.23,0.19,9.00,61.06,51.92,69.71
Suriname,SUR,0.39,0.14,6.00,61.08,52.22,67.00,0.11,0.24,6.00,51.90,35.71,62.38,-0.59,0.30,3.00,30.77,13.46,48.08,-0.68,0.24,5.00,25.48,11.54,40.87,-0.06,0.18,6.00,51.44,41.35,61.06,-0.39,0.18,5.00,40.38,26.92,51.44
Slovak Republic,SVK,0.91,0.13,10.00,75.37,70.44,85.22,0.78,0.23,7.00,72.38,59.05,91.43,0.67,0.22,8.00,74.04,64.42,80.77,1.01,0.21,8.00,79.81,73.08,88.94,0.56,0.15,11.00,71.15,61.54,77.40,0.33,0.16,10.00,64.42,59.13,70.67
Slovenia,SVN,1.01,0.12,11.00,80.79,72.91,88.67,0.82,0.23,8.00,73.81,59.52,92.38,1.08,0.22,8.00,82.21,75.00,90.87,1.01,0.20,9.00,80.29,74.04,88.46,1.12,0.14,12.00,84.13,78.85,87.98,0.91,0.14,11.00,80.29,74.04,83.65
Sweden,SWE,1.59,0.14,10.00,99.51,95.07,100.00,1.05,0.23,8.00,86.67,68.57,96.19,1.83,0.23,7.00,97.12,90.87,99.52,1.80,0.22,8.00,96.63,90.38,100.00,1.91,0.16,10.00,98.56,92.31,100.00,2.12,0.16,9.00,98.56,94.71,100.00
Swaziland,SWZ,-1.32,0.13,9.00,13.30,6.90,17.73,-0.38,0.25,4.00,31.90,18.57,48.57,-0.68,0.21,8.00,25.48,14.90,39.42,-0.61,0.19,7.00,29.33,15.38,40.87,-0.50,0.16,10.00,32.69,23.56,46.15,-0.49,0.18,10.00,35.10,23.56,49.52
Seychelles,SYC,0.34,0.15,7.00,58.13,50.74,65.02,0.69,0.25,4.00,69.05,55.71,89.52,0.52,0.22,7.00,71.15,59.13,77.88,-0.15,0.21,7.00,49.04,34.13,62.02,0.17,0.16,9.00,59.13,50.48,65.38,0.97,0.19,8.00,81.25,73.56,88.46
Syrian Arab Republic,SYR,-1.98,0.14,6.00,1.48,0.00,4.43,-2.73,0.25,5.00,0.48,0.00,2.86,-1.71,0.28,4.00,3.37,0.96,10.10,-1.76,0.23,5.00,3.37,1.92,6.73,-2.08,0.19,6.00,0.96,0.00,2.88,-1.69,0.19,5.00,1.44,0.00,7.21
Chad,TCD,-1.42,0.13,11.00,9.36,5.42,14.78,-1.34,0.25,5.00,10.48,5.71,14.29,-1.57,0.20,10.00,5.77,1.92,10.10,-1.12,0.18,9.00,11.06,6.73,19.71,-1.28,0.15,12.00,7.21,5.29,14.42,-1.42,0.17,11.00,5.77,0.96,12.02
Togo,TGO,-0.72,0.12,12.00,27.59,22.66,31.03,-0.81,0.24,6.00,18.57,11.43,29.52,-0.92,0.20,11.00,15.87,10.10,30.29,-0.68,0.17,9.00,25.96,13.46,36.54,-0.59,0.15,13.00,28.37,19.71,42.31,-0.75,0.15,13.00,25.48,15.87,34.13
Thailand,THA,-0.83,0.12,11.00,24.14,20.20,30.05,-0.54,0.23,8.00,26.67,15.24,41.43,0.36,0.20,9.00,65.87,53.37,74.04,0.12,0.18,10.00,60.58,48.08,66.35,0.10,0.15,12.00,57.69,48.08,62.98,-0.41,0.14,12.00,39.42,28.37,50.00
Tajikistan,TJK,-1.83,0.13,9.00,3.45,0.99,6.40,-0.58,0.25,5.00,23.81,13.81,41.43,-1.05,0.23,9.00,14.42,7.21,25.00,-1.01,0.20,9.00,12.02,7.21,25.96,-1.23,0.15,12.00,8.65,5.29,16.35,-1.32,0.16,11.00,9.13,2.88,13.46
Turkmenistan,TKM,-2.13,0.14,6.00,0.99,0.00,1.97,-0.09,0.25,5.00,44.76,27.62,58.10,-1.16,0.26,5.00,11.06,5.29,23.56,-1.96,0.21,6.00,2.88,0.96,4.33,-1.41,0.15,9.00,6.73,4.33,9.62,-1.51,0.18,7.00,3.85,0.00,10.58
Timor-Leste,TMP,0.38,0.14,6.00,60.10,52.22,66.50,0.24,0.25,4.00,55.24,40.95,68.57,-0.88,0.27,5.00,16.83,10.10,35.58,-0.78,0.22,6.00,20.19,9.62,36.06,-1.11,0.18,7.00,12.02,6.73,20.19,-0.38,0.21,6.00,41.35,25.96,54.33
Tonga,TON,0.56,0.21,3.00,65.02,53.69,74.88,1.12,0.29,3.00,90.48,68.57,98.10,0.16,0.34,4.00,59.13,37.02,75.00,-0.33,0.27,5.00,39.90,20.67,60.58,0.46,0.30,5.00,66.83,51.44,79.81,-0.35,0.26,4.00,41.83,24.52,59.13
Trinidad and Tobago,TTO,0.62,0.13,8.00,67.49,61.08,73.40,0.06,0.24,6.00,49.05,34.76,59.52,0.10,0.23,6.00,57.21,39.90,69.23,-0.15,0.19,8.00,49.52,35.10,61.06,-0.12,0.16,9.00,49.52,39.90,57.69,-0.19,0.16,9.00,49.04,36.54,59.13
Tunisia,TUN,0.28,0.12,14.00,56.65,49.75,61.08,-0.83,0.23,7.00,17.14,11.43,28.57,-0.10,0.19,12.00,48.56,36.54,61.06,-0.44,0.16,11.00,35.58,23.56,48.08,0.06,0.14,15.00,55.77,47.60,61.54,-0.08,0.14,15.00,52.88,44.23,60.58
Turkey,TUR,-0.81,0.12,12.00,24.63,20.69,30.05,-1.34,0.23,8.00,10.00,5.71,13.81,0.05,0.20,10.00,54.33,39.90,66.35,-0.01,0.17,11.00,54.81,40.87,63.94,-0.28,0.15,13.00,44.71,32.21,51.44,-0.29,0.14,12.00,44.71,33.65,53.37
Tuvalu,TUV,1.12,0.23,1.00,85.22,71.43,96.06,1.20,0.35,2.00,93.33,67.62,99.52,-0.65,0.35,3.00,27.88,10.10,50.00,-0.56,0.32,3.00,30.77,11.54,53.37,0.48,0.31,3.00,67.79,52.40,80.29,0.41,0.32,3.00,66.83,51.44,80.77
"Taiwan, China",TWN,1.00,0.13,9.00,80.30,72.91,88.67,0.72,0.23,7.00,70.48,59.05,89.52,1.44,0.22,8.00,90.87,81.73,96.15,1.40,0.21,8.00,90.38,81.73,96.15,1.14,0.17,10.00,85.10,78.85,89.42,1.05,0.16,10.00,82.69,77.88,88.94
Tanzania,TZA,-0.50,0.12,14.00,32.02,27.59,35.47,-0.36,0.23,7.00,32.86,20.00,48.57,-0.88,0.19,12.00,17.31,10.58,31.73,-0.64,0.16,11.00,27.88,15.38,37.98,-0.58,0.14,15.00,29.33,20.67,41.83,-0.39,0.14,15.00,40.87,29.81,50.00
Uganda,UGA,-0.62,0.12,14.00,30.05,24.14,33.99,-0.65,0.23,7.00,22.86,13.33,37.14,-0.59,0.19,12.00,31.25,16.35,40.38,-0.37,0.16,11.00,37.98,27.40,50.96,-0.31,0.14,15.00,43.75,31.25,50.48,-1.17,0.14,15.00,11.54,7.21,17.31
Ukraine,UKR,0.06,0.12,11.00,48.28,39.90,55.17,-1.52,0.23,8.00,8.57,5.24,11.90,-0.30,0.20,9.00,39.90,28.85,53.37,-0.26,0.18,10.00,42.31,31.25,56.25,-0.70,0.14,13.00,25.48,17.79,34.13,-0.71,0.14,12.00,26.44,17.79,35.10
Uruguay,URY,1.26,0.12,12.00,89.66,81.77,95.57,1.05,0.23,7.00,86.19,68.57,96.19,0.70,0.21,10.00,74.52,65.87,80.77,0.51,0.18,10.00,70.19,62.50,74.52,0.62,0.15,14.00,74.52,64.90,78.85,1.25,0.13,13.00,87.98,81.25,89.42
United States,USA,0.97,0.14,11.00,78.82,71.43,87.68,0.30,0.23,8.00,57.62,46.19,68.57,1.49,0.23,7.00,91.35,83.65,97.60,1.35,0.22,8.00,88.94,78.85,95.19,1.46,0.16,11.00,89.90,86.06,92.79,1.22,0.15,11.00,84.62,81.25,89.42
Uzbekistan,UZB,-1.61,0.13,8.00,6.90,3.45,11.33,-0.27,0.24,6.00,36.19,21.90,53.33,-0.51,0.24,8.00,34.13,15.87,47.12,-0.99,0.19,9.00,12.98,7.21,25.96,-1.05,0.14,12.00,14.42,6.73,20.67,-1.05,0.15,10.00,14.42,9.62,23.08
St. Vincent and the Grenadines,VCT,0.93,0.21,2.00,75.86,65.52,90.64,0.96,0.28,4.00,81.90,61.90,96.19,0.23,0.35,2.00,62.02,38.94,75.00,0.21,0.25,4.00,62.50,46.63,72.60,0.45,0.26,4.00,65.87,54.33,78.85,0.78,0.24,3.00,77.88,66.35,83.65
"Venezuela, RB",VEN,-1.41,0.12,13.00,10.34,6.40,14.78,-1.45,0.23,8.00,9.05,5.24,12.38,-1.66,0.21,10.00,4.33,1.44,10.10,-2.36,0.19,10.00,0.48,0.00,2.40,-2.32,0.15,13.00,0.48,0.00,0.96,-1.51,0.13,13.00,4.33,0.00,9.62
Virgin Islands (U.S.),VIR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.08,0.31,2.00,88.10,66.19,98.10,0.82,0.46,1.00,76.44,54.81,92.31,1.23,0.49,1.00,86.06,66.83,99.52,1.09,0.50,1.00,83.65,61.06,98.08,0.62,0.41,1.00,72.60,54.33,88.46
Vietnam,VNM,-1.38,0.12,10.00,11.82,6.90,16.26,0.13,0.23,7.00,53.81,37.62,62.38,0.04,0.21,9.00,53.85,39.42,66.35,-0.26,0.18,10.00,41.83,30.77,56.25,-0.02,0.15,12.00,53.37,45.19,61.06,-0.51,0.14,11.00,34.13,25.96,44.71
Vanuatu,VUT,0.66,0.20,3.00,68.97,58.13,79.80,1.03,0.35,2.00,84.76,60.00,98.10,-0.55,0.34,4.00,32.69,12.98,52.40,-0.46,0.27,5.00,35.10,15.87,53.37,0.18,0.29,6.00,60.10,44.23,74.52,-0.26,0.24,5.00,47.12,27.88,60.58
West Bank and Gaza,WBG,-1.01,0.16,5.00,21.18,13.79,25.62,-1.94,0.25,4.00,4.76,2.86,8.10,-0.74,0.32,3.00,23.08,10.10,41.35,0.03,0.36,2.00,56.73,30.77,72.60,-0.49,0.21,4.00,33.65,20.19,47.60,-0.26,0.25,5.00,46.63,27.88,60.58
"Jersey, Channel Islands",JEY,1.29,0.27,1.00,92.61,73.89,100.00,1.30,0.47,1.00,94.29,63.81,100.00,1.24,0.43,1.00,86.06,71.63,99.04,0.92,0.47,1.00,76.44,61.06,95.19,1.75,0.23,1.00,94.23,88.46,100.00,1.04,0.37,1.00,82.21,66.83,91.83
"Yemen, Rep.",YEM,-1.77,0.13,8.00,4.43,0.99,6.90,-2.77,0.25,5.00,0.00,0.00,2.86,-2.28,0.23,8.00,0.48,0.00,1.92,-1.66,0.19,8.00,4.33,2.40,7.21,-1.77,0.17,9.00,2.88,0.96,5.29,-1.68,0.16,9.00,1.92,0.00,5.77
Serbia,SRB,0.03,0.13,10.00,45.81,39.90,55.17,-0.09,0.23,7.00,45.24,28.10,57.14,0.02,0.24,7.00,53.37,38.46,66.83,0.11,0.20,8.00,60.10,45.19,66.83,-0.12,0.15,11.00,50.00,41.35,57.69,-0.45,0.15,10.00,37.02,26.92,48.08
South Africa,ZAF,0.67,0.12,15.00,69.46,61.08,73.89,-0.22,0.23,8.00,40.00,23.33,53.81,0.37,0.18,13.00,66.35,55.77,73.56,0.16,0.16,12.00,61.54,50.96,66.83,-0.08,0.14,16.00,50.96,44.23,58.17,0.08,0.13,16.00,59.62,50.96,63.46
"Congo, Dem. Rep.",ZAR,-1.37,0.13,11.00,12.81,6.90,16.26,-1.81,0.25,5.00,5.71,3.33,9.05,-1.63,0.20,10.00,4.81,1.44,10.10,-1.51,0.18,9.00,5.29,2.88,9.13,-1.79,0.16,12.00,2.40,0.96,5.29,-1.54,0.16,12.00,3.37,0.00,9.62
Zambia,ZMB,-0.29,0.12,13.00,36.95,32.51,42.86,-0.10,0.24,6.00,43.81,27.62,56.67,-0.68,0.20,11.00,27.40,14.90,38.94,-0.55,0.17,10.00,31.25,19.23,40.87,-0.46,0.15,14.00,35.10,25.00,46.63,-0.64,0.14,14.00,28.37,19.23,38.46
Zimbabwe,ZWE,-1.14,0.12,14.00,16.75,12.81,22.17,-0.92,0.23,7.00,14.76,10.48,26.67,-1.21,0.19,12.00,10.58,6.25,16.35,-1.46,0.16,11.00,6.25,3.37,9.13,-1.26,0.14,15.00,8.17,5.29,14.42,-1.24,0.14,15.00,10.10,4.33,15.38
